id,localidade,valor,unidade
0,Rondônia,3.727.182,Mil Reais
1,Acre,117.790,Mil Reais
2,Amazonas,101.583,Mil Reais
3,Roraima,839.864,Mil Reais
4,Pará,7.307.684,Mil Reais
5,Amapá,24.721,Mil Reais
6,Tocantins,7.423.563,Mil Reais
7,Maranhão,8.338.428,Mil Reais
8,Piauí,7.322.801,Mil Reais
9,Ceará,25.110,Mil Reais
10,Rio Grande do Norte,600,Mil Reais
11,Paraíba,-,Mil Reais
12,Pernambuco,-,Mil Reais
13,Alagoas,35.327,Mil Reais
14,Sergipe,-,Mil Reais
15,Bahia,14.432.772,Mil Reais
16,Minas Gerais,13.653.404,Mil Reais
17,Espírito Santo,2.951,Mil Reais
18,Rio de Janeiro,4.179,Mil Reais
19,São Paulo,7.161.317,Mil Reais
20,Paraná,34.549.450,Mil Reais
21,Santa Catarina,5.325.337,Mil Reais
22,Rio Grande do Sul,36.103.542,Mil Reais
23,Mato Grosso do Sul,19.232.215,Mil Reais
24,Mato Grosso,63.847.218,Mil Reais
25,Goiás,30.079.916,Mil Reais
26,Distrito Federal,576.554,Mil Reais
